Id;Designator;Package/Footprint;Qty;Value;Supplier ;Supplier ref.
1;R1;0603;1;470;;
2;R2,R3;0603;2;56K;;
3;R4,R8;0603;2;1K;;
4;R5,R7;0603;2;10K;;
5;R6;Potentiometer Custom Inline ScrewUp;1;10K;;
6;C1,C4,C5,C7,C8,C10,C11,C12,C13;0603;9;100nF;;
7;C2;6.3x5.3;1;47uF;;
8;C3,C6;5x5.3;2;10uF;;
9;C9;5x5.3;1;4u7;;
10;D1;DO-214AC;1;1N4007 M7;;
11;D2;1206;1;PWR;;
12;D3;1206;1;PULSE;;
13;U1;SOT-223;1;AP1117D50;;
14;U2;SOT-223;1;AP1117D33;;
15;U3;SOT-23;1;ATSHA240A;;
16;U4;SOIC-8-N;1;AT25DF512C;;
17;U5;TCRT5000;1;TCRT5000;;
18;U6;SOIC-8-N;1;LM393;;
19;U7;Module;1;SI7021;;
20;REF1;Module;1;Arduino_Mini_Pro 5V;;
21;REF2;Module;1;NRF24L01;;
22;CONN1;Socket Jack5.5/2.1MM;1;CONN_01X02;;
23;P1;Header 2x3 pin;1;CONN_02X03;;
